config_hash,task_pool_id,wireless_index,wireless_seed,workload_capacity_fraction,memory_available_gb_config,memory_mode,algorithm,strategy_bits,strategy_feasible_estimated,raw_strategy_quantized_feasible,raw_strategy_quantized_objective,quantized_projected_strategy_bits,quantized_projection_change_rate,projected_strategy_quantized_objective,quantized_oracle_objective,quantized_oracle_gap_percent,runtime_seconds,updates,changes,swaps,full_single_flip_pass,signaling_payload_bytes,signaling_header_bytes,signaling_total_bytes,n_nodes,k_offload,offload_rate,decision_objective,public_objective_J,barrier_penalty,estimated_workload,true_workload,workload_capacity,workload_limit,workload_utilization,estimated_memory_gb,true_memory_gb,memory_available_gb,memory_utilization,estimated_workload_violation,estimated_memory_violation,true_workload_violation,true_memory_violation,total_end_to_end_delay_seconds,mean_end_to_end_delay_seconds,total_device_energy_j,mean_tx_time_ms_offloaded,mean_tx_energy_mj_offloaded,queue_delay_ms_per_offloaded_task,rejections_workload,rejections_memory,rejections_cost
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,0.2,1.5,hard,wa_mcbr_hard,0000000000000000001000000000000000000000000000000010010000000000000000101000000000000000000100000000,1,0,inf,0000000000000000001000000000000000000000000000000010010000000000000000001000000000000000000100000000,0.01,236.34747913322437,235.71337173052615,0.26901630486332717,0.0057630829978734255,100,0,0,True,3800,8000,11800,100,6,0.06,235.76266508132028,235.76266508132028,0.0,5.58252427184466,5.58252427184466,12.631578947368421,12.0,0.4419498381877022,1.4949999999999999,1.4949999999999999,1.5,0.9966666666666666,0,0,0,0,4382.558736026372,43.82558736026372,8258.639644150448,341.80093613390426,39.94069174129091,217.9884015947807,0,94,0
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,0.2,1.5,soft,wa_mcbr_soft,0010000000000000000000000000000000000000000000001010000000000000000000001000000000000000000000000000,1,1,238.09845057021516,0010000000000000000000000000000000000000000000001010000000000000000000001000000000000000000000000000,0.0,238.09845057021516,,,0.015033708070404828,153,8,0,True,5814,12240,18054,100,4,0.04,238.51767825897903,238.06747258563243,0.4502056733466058,4.126213592233009,4.126213592233009,12.631578947368421,12.0,0.3266585760517799,1.05625,1.05625,1.5,0.7041666666666666,0,0,0,0,4453.725114923866,44.537251149238664,8586.131136624419,289.99606349881,32.78415610486682,141.28266746770802,0,0,96
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,0.2,1.5,none,wa_mcbr_none,0000000001000000001000000000000000010000000000000010100000000000000000000000010000000000000100000000,1,0,inf,0000000001000000001000000000000000000000000000000010000000000000000000000000010000000000000100000000,0.02,235.92462771651608,,,0.06290062505286187,1172,17,0,True,44536,93760,138296,100,7,0.07,234.66184630614543,234.66184630614543,0.0,6.067961165048544,6.067961165048544,12.631578947368421,12.0,0.4803802588996764,1.69,1.69,1.5,1.1266666666666667,0,1,0,1,4311.504797008455,43.115047970084554,7927.65410481924,592.4213710015567,64.87211703416585,251.12105877773456,0,0,93
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,0.2,2.0,hard,wa_mcbr_hard,0000000001000000001000000000000000010000000000000010100000000000000000000000010000000000000100000000,1,1,234.89914910929357,0000000001000000001000000000000000010000000000000010100000000000000000000000010000000000000100000000,0.0,234.89914910929357,234.89914910929355,1.209953698775639e-14,0.05455541703850031,1172,13,0,True,44536,93760,138296,100,7,0.07,234.66184630614543,234.66184630614543,0.0,6.067961165048544,6.067961165048544,12.631578947368421,12.0,0.4803802588996764,1.69,1.69,2.0,0.845,0,0,0,0,4311.504797008455,43.115047970084554,7927.65410481924,592.4213710015567,64.87211703416585,251.12105877773456,0,32,61
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,0.2,2.0,soft,wa_mcbr_soft,0000000001000000001000000000000000000000000000000010100000000000000000000000010000000000000100000000,1,1,235.23752217893676,0000000001000000001000000000000000000000000000000010100000000000000000000000010000000000000100000000,0.0,235.23752217893676,,,0.02969312504865229,331,14,0,True,12578,26480,39058,100,6,0.06,235.88840059203835,235.10249528944942,0.7859053025889404,5.339805825242719,5.339805825242719,12.631578947368421,12.0,0.4227346278317152,1.4462499999999998,1.4462499999999998,2.0,0.7231249999999999,0,0,0,0,4336.795714338112,43.36795714338112,8046.392415126999,596.2093389960928,65.40252116644108,203.07638402242466,0,0,94
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,0.2,2.0,none,wa_mcbr_none,0000000001000000001000000000000000010000000000000010100000000000000000000000010000000000000100000000,1,1,234.89914910929357,0000000001000000001000000000000000010000000000000010100000000000000000000000010000000000000100000000,0.0,234.89914910929357,,,0.07029195805080235,1172,17,0,True,44536,93760,138296,100,7,0.07,234.66184630614543,234.66184630614543,0.0,6.067961165048544,6.067961165048544,12.631578947368421,12.0,0.4803802588996764,1.69,1.69,2.0,0.845,0,0,0,0,4311.504797008455,43.115047970084554,7927.65410481924,592.4213710015567,64.87211703416585,251.12105877773456,0,0,93
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,0.2,3.0,hard,wa_mcbr_hard,0000000001000000001000000000000000010000000000000010100000000000000000000000010000000000000100000000,1,1,234.89914910929357,0000000001000000001000000000000000010000000000000010100000000000000000000000010000000000000100000000,0.0,234.89914910929357,234.89914910929355,1.209953698775639e-14,0.06673137506004423,1172,17,0,True,44536,93760,138296,100,7,0.07,234.66184630614543,234.66184630614543,0.0,6.067961165048544,6.067961165048544,12.631578947368421,12.0,0.4803802588996764,1.69,1.69,3.0,0.5633333333333334,0,0,0,0,4311.504797008455,43.115047970084554,7927.65410481924,592.4213710015567,64.87211703416585,251.12105877773456,0,0,93
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,0.2,3.0,soft,wa_mcbr_soft,0000000001000000001000000000000000010000000000000010110000000000000000000000010000000000000000000000,1,1,234.95865071668965,0000000001000000001000000000000000010000000000000010110000000000000000000000010000000000000000000000,0.0,234.95865071668965,,,0.13905733299907297,958,17,0,True,36404,76640,113044,100,7,0.07,235.0199184231893,234.72911321612477,0.2908052070645141,6.310679611650485,6.310679611650485,12.631578947368421,12.0,0.4995954692556634,1.7387499999999998,1.7387499999999998,3.0,0.5795833333333332,0,0,0,0,4320.747028662113,43.20747028662113,7970.805069386283,522.8368697348666,57.867055183335886,269.5957962813258,0,0,93
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,0.2,3.0,none,wa_mcbr_none,0000000001000000001000000000000000010000000000000010100000000000000000000000010000000000000100000000,1,1,234.89914910929357,0000000001000000001000000000000000010000000000000010100000000000000000000000010000000000000100000000,0.0,234.89914910929357,,,0.07439137494657189,1172,17,0,True,44536,93760,138296,100,7,0.07,234.66184630614543,234.66184630614543,0.0,6.067961165048544,6.067961165048544,12.631578947368421,12.0,0.4803802588996764,1.69,1.69,3.0,0.5633333333333334,0,0,0,0,4311.504797008455,43.115047970084554,7927.65410481924,592.4213710015567,64.87211703416585,251.12105877773456,0,0,93
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,0.2,5.0,hard,wa_mcbr_hard,0000000001000000001000000000000000010000000000000010100000000000000000000000010000000000000100000000,1,1,234.89914910929357,0000000001000000001000000000000000010000000000000010100000000000000000000000010000000000000100000000,0.0,234.89914910929357,234.89914910929355,1.209953698775639e-14,0.0770408749813214,1172,17,0,True,44536,93760,138296,100,7,0.07,234.66184630614543,234.66184630614543,0.0,6.067961165048544,6.067961165048544,12.631578947368421,12.0,0.4803802588996764,1.69,1.69,5.0,0.33799999999999997,0,0,0,0,4311.504797008455,43.115047970084554,7927.65410481924,592.4213710015567,64.87211703416585,251.12105877773456,0,0,93
